current_path,current_filename,suggested_clean_filename,project_group,confidence,category,safety_status,unsafe_elements,recommended_fix,suggested_usage,source_public_status,alt_en
"public/images/packages/landmark-government-facade.webp","landmark-government-facade.webp","landmark-government-facade.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/packages/villa-palace-architectural.webp","villa-palace-architectural.webp","villa-palace-architectural.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/projects/architectural-cladding-gfrc.png","architectural-cladding-gfrc.png","architectural-cladding-gfrc.png","design-generic-gfrc-render","High","Catalog","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/projects/classic-red-stone-villa-gfrc-facade-package/01-hero/classic-red-stone-villa-gfrc-facade-hero-01.jpg","classic-red-stone-villa-gfrc-facade-hero-01.jpg","classic-red-stone-villa-gfrc-facade-hero-01.jpg","classic-red-stone-villa-gfrc-facade-package","Low","Unknown / Needs Review","Needs Manual Review","unclear ownership/source","manual review required","do not publish","",""
"public/images/projects/classic-red-stone-villa-gfrc-facade-package/02-facade-overview/classic-red-stone-villa-gfrc-facade-overview-01.jpg","classic-red-stone-villa-gfrc-facade-overview-01.jpg","classic-red-stone-villa-gfrc-facade-overview-01.jpg","classic-red-stone-villa-gfrc-facade-package","Low","Unknown / Needs Review","Needs Manual Review","unclear ownership/source","manual review required","do not publish","",""
"public/images/projects/classic-red-stone-villa-gfrc-facade-package/03-arches-columns-details/classic-red-stone-villa-arches-columns-detail-01.jpg","classic-red-stone-villa-arches-columns-detail-01.jpg","classic-red-stone-villa-arches-columns-detail-01.jpg","classic-red-stone-villa-gfrc-facade-package","Low","Unknown / Needs Review","Needs Manual Review","unclear ownership/source","manual review required","do not publish","",""
"public/images/projects/classic-red-stone-villa-gfrc-facade-package/99-archive-originals/DSC02492.JPG","DSC02492.JPG","dsc02492.jpg","classic-red-stone-villa-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/classic-red-stone-villa-gfrc-facade-package/99-archive-originals/DSC02506.JPG","DSC02506.JPG","dsc02506.jpg","classic-red-stone-villa-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/classic-villa-boundary-wall-gfrc-package/01-hero/classic-villa-boundary-wall-gfrc-hero-01.jpg","classic-villa-boundary-wall-gfrc-hero-01.jpg","classic-villa-boundary-wall-gfrc-hero-01.jpg","classic-villa-boundary-wall-gfrc-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; obscure project identifier; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review crop/privacy before publishing","Classic GFRC/GRC villa boundary wall with decorative entrance gate, arches, cornices and ornamental relief details."
"public/images/projects/classic-villa-boundary-wall-gfrc-package/02-entrance-gate/classic-villa-boundary-wall-entrance-gate-01.jpg","classic-villa-boundary-wall-entrance-gate-01.jpg","classic-villa-boundary-wall-entrance-gate-01.jpg","classic-villa-boundary-wall-gfrc-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; obscure project identifier; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review crop/privacy before publishing","Classic GFRC/GRC villa boundary wall with decorative entrance gate, arches, cornices and ornamental relief details."
"public/images/projects/classic-villa-boundary-wall-gfrc-package/03-boundary-wall-details/classic-villa-boundary-wall-detail-01.jpg","classic-villa-boundary-wall-detail-01.jpg","classic-villa-boundary-wall-detail-01.jpg","classic-villa-boundary-wall-gfrc-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; obscure project identifier; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review crop/privacy before publishing","Classic GFRC/GRC villa boundary wall with decorative entrance gate, arches, cornices and ornamental relief details."
"public/images/projects/classic-villa-boundary-wall-gfrc-package/04-cornices-ornaments/classic-villa-cornice-ornament-detail-01.jpg","classic-villa-cornice-ornament-detail-01.jpg","classic-villa-cornice-ornament-detail-01.jpg","classic-villa-boundary-wall-gfrc-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; obscure project identifier; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review crop/privacy before publishing","Classic GFRC/GRC villa boundary wall with decorative entrance gate, arches, cornices and ornamental relief details."
"public/images/projects/classic-villa-boundary-wall-gfrc-package/99-archive-originals/IMG_20220515_103618.jpg","IMG_20220515_103618.jpg","img-20220515-103618.jpg","classic-villa-boundary-wall-gfrc-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/classic-villa-boundary-wall-gfrc-package/99-archive-originals/IMG_20221025_100437.jpg","IMG_20221025_100437.jpg","img-20221025-100437.jpg","classic-villa-boundary-wall-gfrc-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/classic-villa-boundary-wall-gfrc-package/99-archive-originals/IMG_20221025_100443.jpg","IMG_20221025_100443.jpg","img-20221025-100443.jpg","classic-villa-boundary-wall-gfrc-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/classic-villa-boundary-wall-gfrc-package/99-archive-originals/IMG_20221025_100500.jpg","IMG_20221025_100500.jpg","img-20221025-100500.jpg","classic-villa-boundary-wall-gfrc-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/column-portico-gfrc.png","column-portico-gfrc.png","column-portico-gfrc.png","design-generic-gfrc-render","High","Catalog","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/projects/commercial-gfrc-facade-cladding-package/01-hero/commercial-gfrc-facade-cladding-hero-01.png","commercial-gfrc-facade-cladding-hero-01.png","commercial-gfrc-facade-cladding-hero-01.png","commercial-gfrc-facade-cladding-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review/crop before publishing","Commercial GFRC/GRC facade cladding with vertical architectural panels and glass elevation."
"public/images/projects/commercial-gfrc-facade-cladding-package/02-design-render/commercial-gfrc-facade-cladding-design-render-01.png","commercial-gfrc-facade-cladding-design-render-01.png","commercial-gfrc-facade-cladding-design-render-01.png","commercial-gfrc-facade-cladding-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review/crop before publishing","Commercial GFRC/GRC facade cladding with vertical architectural panels and glass elevation."
"public/images/projects/commercial-gfrc-facade-cladding-package/03-facade-overview/commercial-gfrc-facade-cladding-overview-01.png","commercial-gfrc-facade-cladding-overview-01.png","commercial-gfrc-facade-cladding-overview-01.png","commercial-gfrc-facade-cladding-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Public candidate - review/crop before publishing","Commercial GFRC/GRC facade cladding with vertical architectural panels and glass elevation."
"public/images/projects/commercial-gfrc-facade-cladding-package/99-archive-originals/Picture75.png","Picture75.png","picture75.png","commercial-gfrc-facade-cladding-package","High","Internal Only","Internal Only","","keep private","internal only","Archive / internal reference","Original uploaded commercial GFRC/GRC facade reference image."
"public/images/projects/commercial-gfrc-facade-cladding-package/99-archive-originals/Picture76.png","Picture76.png","picture76.png","commercial-gfrc-facade-cladding-package","High","Internal Only","Internal Only","","keep private","internal only","Archive / internal reference","Original uploaded commercial GFRC/GRC facade reference image."
"public/images/projects/commercial-gfrc-facade-cladding-package/99-archive-originals/Picture77.png","Picture77.png","picture77.png","commercial-gfrc-facade-cladding-package","High","Internal Only","Internal Only","","keep private","internal only","Archive / internal reference","Original uploaded commercial GFRC/GRC facade reference image."
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/01-hero/commercial-hospitality-tower-gfrc-facade-hero-01.jpeg","commercial-hospitality-tower-gfrc-facade-hero-01.jpeg","commercial-hospitality-tower-gfrc-facade-hero-01.jpeg","commercial-hospitality-tower-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Hero candidate - review/crop before publishing",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/02-building-overview/commercial-hospitality-tower-gfrc-facade-overview-01.jpeg","commercial-hospitality-tower-gfrc-facade-overview-01.jpeg","commercial-hospitality-tower-gfrc-facade-overview-01.jpeg","commercial-hospitality-tower-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs review / crop before publishing",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/02-building-overview/commercial-hospitality-tower-gfrc-facade-overview-02.jpeg","commercial-hospitality-tower-gfrc-facade-overview-02.jpeg","commercial-hospitality-tower-gfrc-facade-overview-02.jpeg","commercial-hospitality-tower-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs review / crop before publishing",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/03-design-reference/commercial-hospitality-tower-gfrc-facade-design-reference-01.png","commercial-hospitality-tower-gfrc-facade-design-reference-01.png","commercial-hospitality-tower-gfrc-facade-design-reference-01.png","commercial-hospitality-tower-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs review / crop before publishing",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/03-design-reference/commercial-hospitality-tower-gfrc-facade-design-reference-02.png","commercial-hospitality-tower-gfrc-facade-design-reference-02.png","commercial-hospitality-tower-gfrc-facade-design-reference-02.png","commercial-hospitality-tower-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs review / crop before publishing",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/99-archive-originals/WhatsApp Image 2025-02-26 at 11.20.38 AM (1).jpeg","WhatsApp Image 2025-02-26 at 11.20.38 AM (1).jpeg","whatsapp-image-2025-02-26-at-11.20.38-am-1.jpeg","commercial-hospitality-tower-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/99-archive-originals/WhatsApp Image 2025-02-26 at 11.20.38 AM (2).jpeg","WhatsApp Image 2025-02-26 at 11.20.38 AM (2).jpeg","whatsapp-image-2025-02-26-at-11.20.38-am-2.jpeg","commercial-hospitality-tower-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/99-archive-originals/WhatsApp Image 2025-02-26 at 11.20.38 AM.jpeg","WhatsApp Image 2025-02-26 at 11.20.38 AM.jpeg","whatsapp-image-2025-02-26-at-11.20.38-am.jpeg","commercial-hospitality-tower-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/99-archive-originals/vlcsnap-2024-11-06-09h57m48s756.png","vlcsnap-2024-11-06-09h57m48s756.png","vlcsnap-2024-11-06-09h57m48s756.png","commercial-hospitality-tower-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/commercial-hospitality-tower-gfrc-facade-package/99-archive-originals/vlcsnap-2024-11-06-09h58m06s524.png","vlcsnap-2024-11-06-09h58m06s524.png","vlcsnap-2024-11-06-09h58m06s524.png","commercial-hospitality-tower-gfrc-facade-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/dome-vault-gfrc.png","dome-vault-gfrc.png","dome-vault-gfrc.png","design-generic-gfrc-render","High","Catalog","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/projects/geometric-mashrabiya-screen-package/01-hero/geometric-mashrabiya-screen-hero-01.jpg","geometric-mashrabiya-screen-hero-01.jpg","geometric-mashrabiya-screen-hero-01.jpg","geometric-mashrabiya-screen-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review before public hero","GFRC/GRC geometric mashrabiya screen facade with terracotta finish and deep patterned lattice."
"public/images/projects/geometric-mashrabiya-screen-package/03-installation-progress/geometric-mashrabiya-screen-installation-progress-01.jpg","geometric-mashrabiya-screen-installation-progress-01.jpg","geometric-mashrabiya-screen-installation-progress-01.jpg","geometric-mashrabiya-screen-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Archive / internal or crop before public use","GFRC/GRC geometric mashrabiya screen installation progress with terracotta patterned panels."
"public/images/projects/geometric-mashrabiya-screen-package/99-archive-originals/IMG_20220526_163312(1).jpg","IMG_20220526_163312(1).jpg","img-20220526-1633121.jpg","geometric-mashrabiya-screen-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/geometric-mashrabiya-screen-package/99-archive-originals/IMG_20220526_163528.jpg","IMG_20220526_163528.jpg","img-20220526-163528.jpg","geometric-mashrabiya-screen-package","High","Internal Only","Internal Only","","keep private","internal only","",""
"public/images/projects/grand-arcade-facade-complex/architectural-sample-arched-screen-panel-001.jpg","architectural-sample-arched-screen-panel-001.jpg","architectural-sample-arched-screen-panel-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/architectural-sample-balustrade-001.jpg","architectural-sample-balustrade-001.jpg","architectural-sample-balustrade-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/architectural-sample-frame-panel-001.jpg","architectural-sample-frame-panel-001.jpg","architectural-sample-frame-panel-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/bridge-infrastructure-cladding-long-view-001.jpg","bridge-infrastructure-cladding-long-view-001.jpg","bridge-infrastructure-cladding-long-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/bridge-infrastructure-cladding-overall-view-001.jpg","bridge-infrastructure-cladding-overall-view-001.jpg","bridge-infrastructure-cladding-overall-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/bridge-infrastructure-cladding-support-detail-001.jpg","bridge-infrastructure-cladding-support-detail-001.jpg","bridge-infrastructure-cladding-support-detail-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-arch-detail-001.jpg","grand-arcade-facade-arch-detail-001.jpg","grand-arcade-facade-arch-detail-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-colonnade-view-001.jpg","grand-arcade-facade-colonnade-view-001.jpg","grand-arcade-facade-colonnade-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-institutional-view-001.jpg","grand-arcade-facade-institutional-view-001.jpg","grand-arcade-facade-institutional-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-main-block-001.jpg","grand-arcade-facade-main-block-001.jpg","grand-arcade-facade-main-block-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-overall-view-001.jpg","grand-arcade-facade-overall-view-001.jpg","grand-arcade-facade-overall-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-overall-view-002.jpg","grand-arcade-facade-overall-view-002.jpg","grand-arcade-facade-overall-view-002.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-side-perspective-001.jpg","grand-arcade-facade-side-perspective-001.jpg","grand-arcade-facade-side-perspective-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-street-view-001.jpg","grand-arcade-facade-street-view-001.jpg","grand-arcade-facade-street-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/grand-arcade-facade-wide-view-001.jpg","grand-arcade-facade-wide-view-001.jpg","grand-arcade-facade-wide-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mashrabiya-entry-screen-doorway-001.jpg","mashrabiya-entry-screen-doorway-001.jpg","mashrabiya-entry-screen-doorway-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mashrabiya-entry-screen-doorway-002.jpg","mashrabiya-entry-screen-doorway-002.jpg","mashrabiya-entry-screen-doorway-002.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mosque-architectural-details-dome-interior-001.jpg","mosque-architectural-details-dome-interior-001.jpg","mosque-architectural-details-dome-interior-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mosque-architectural-details-lattice-window-001.jpg","mosque-architectural-details-lattice-window-001.jpg","mosque-architectural-details-lattice-window-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mosque-architectural-details-main-entrance-001.jpg","mosque-architectural-details-main-entrance-001.jpg","mosque-architectural-details-main-entrance-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mosque-architectural-details-minaret-001.jpg","mosque-architectural-details-minaret-001.jpg","mosque-architectural-details-minaret-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/mosque-architectural-details-screen-windows-001.jpg","mosque-architectural-details-screen-windows-001.jpg","mosque-architectural-details-screen-windows-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/tunnel-pattern-cladding-001.jpg","tunnel-pattern-cladding-001.jpg","tunnel-pattern-cladding-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/urban-high-rise-tower-corner-view-001.jpg","urban-high-rise-tower-corner-view-001.jpg","urban-high-rise-tower-corner-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/urban-high-rise-tower-corner-view-002.jpg","urban-high-rise-tower-corner-view-002.jpg","urban-high-rise-tower-corner-view-002.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/urban-high-rise-tower-full-height-view-001.jpg","urban-high-rise-tower-full-height-view-001.jpg","urban-high-rise-tower-full-height-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-arcade-facade-complex/urban-high-rise-tower-street-view-001.jpg","urban-high-rise-tower-street-view-001.jpg","urban-high-rise-tower-street-view-001.jpg","grand-arcade-facade-complex","High","Project Gallery","Public Safe","","approve as-is","website gallery","",""
"public/images/projects/grand-entrance-gfrc.png","grand-entrance-gfrc.png","grand-entrance-gfrc.png","design-generic-gfrc-render","High","Catalog","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/projects/heritage-gfrc-facade-package/01-hero/heritage-gfrc-facade-hero-01.jpg","heritage-gfrc-facade-hero-01.jpg","heritage-gfrc-facade-hero-01.jpg","heritage-gfrc-facade-package","High","Project Gallery","Public Safe","","approve as-is","website gallery","Public candidate","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
"public/images/projects/heritage-gfrc-facade-package/02-facade-cladding/heritage-gfrc-facade-wide-02.jpg","heritage-gfrc-facade-wide-02.jpg","heritage-gfrc-facade-wide-02.jpg","heritage-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
"public/images/projects/heritage-gfrc-facade-package/03-arches-cornices/heritage-gfrc-entrance-arch-01.jpeg","heritage-gfrc-entrance-arch-01.jpeg","heritage-gfrc-entrance-arch-01.jpeg","heritage-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
"public/images/projects/heritage-gfrc-facade-package/03-arches-cornices/heritage-gfrc-entrance-arch-detail-02.jpeg","heritage-gfrc-entrance-arch-detail-02.jpeg","heritage-gfrc-entrance-arch-detail-02.jpeg","heritage-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
"public/images/projects/heritage-gfrc-facade-package/04-mashrabiya-screens/heritage-gfrc-window-screens-01.jpeg","heritage-gfrc-window-screens-01.jpeg","heritage-gfrc-window-screens-01.jpeg","heritage-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
"public/images/projects/heritage-gfrc-facade-package/05-site-context-needs-crop/heritage-gfrc-site-context-01.jpeg","heritage-gfrc-site-context-01.jpeg","heritage-gfrc-site-context-01.jpeg","heritage-gfrc-facade-package","Medium","Project Gallery","Sanitizable","site/location identity","crop; strip metadata; optimize copy","do not publish (until sanitized)","Needs crop/review","GFRC heritage-style facade package with arches, cornices, decorative screens and patterned facade panels."
